"dateTime","value","dataset_time","dataset_value","datasetInterval","datasetType"
"2023-02-11","7072","02:01:00",0,1,"minute"
"2023-02-11","7072","02:02:00",0,1,"minute"
"2023-02-11","7072","02:03:00",0,1,"minute"
"2023-02-11","7072","02:04:00",0,1,"minute"
"2023-02-11","7072","02:05:00",0,1,"minute"
"2023-02-11","7072","02:06:00",0,1,"minute"
"2023-02-11","7072","02:07:00",0,1,"minute"
"2023-02-11","7072","02:08:00",0,1,"minute"
"2023-02-11","7072","02:09:00",0,1,"minute"
"2023-02-11","7072","02:10:00",0,1,"minute"
"2023-02-11","7072","02:11:00",0,1,"minute"
"2023-02-11","7072","02:12:00",0,1,"minute"
"2023-02-11","7072","02:13:00",0,1,"minute"
"2023-02-11","7072","02:14:00",0,1,"minute"
"2023-02-11","7072","02:15:00",0,1,"minute"
"2023-02-11","7072","02:16:00",0,1,"minute"
"2023-02-11","7072","02:17:00",0,1,"minute"
"2023-02-11","7072","02:18:00",0,1,"minute"
"2023-02-11","7072","02:19:00",0,1,"minute"
"2023-02-11","7072","02:20:00",0,1,"minute"
"2023-02-11","7072","02:21:00",0,1,"minute"
"2023-02-11","7072","02:22:00",0,1,"minute"
"2023-02-11","7072","02:23:00",0,1,"minute"
"2023-02-11","7072","02:24:00",0,1,"minute"
"2023-02-11","7072","02:25:00",0,1,"minute"
"2023-02-11","7072","02:26:00",0,1,"minute"
"2023-02-11","7072","02:27:00",0,1,"minute"
"2023-02-11","7072","02:28:00",0,1,"minute"
"2023-02-11","7072","02:29:00",0,1,"minute"
"2023-02-11","7072","02:30:00",0,1,"minute"
"2023-02-11","7072","02:31:00",0,1,"minute"
"2023-02-11","7072","02:32:00",0,1,"minute"
"2023-02-11","7072","02:33:00",0,1,"minute"
"2023-02-11","7072","02:34:00",0,1,"minute"
"2023-02-11","7072","02:35:00",8,1,"minute"
"2023-02-11","7072","02:36:00",0,1,"minute"
"2023-02-11","7072","02:37:00",0,1,"minute"
"2023-02-11","7072","02:38:00",0,1,"minute"
"2023-02-11","7072","02:39:00",0,1,"minute"
"2023-02-11","7072","02:40:00",0,1,"minute"
"2023-02-11","7072","02:41:00",0,1,"minute"
"2023-02-11","7072","02:42:00",0,1,"minute"
"2023-02-11","7072","02:43:00",0,1,"minute"
"2023-02-11","7072","02:44:00",0,1,"minute"
"2023-02-11","7072","02:45:00",0,1,"minute"
"2023-02-11","7072","02:46:00",0,1,"minute"
"2023-02-11","7072","02:47:00",0,1,"minute"
"2023-02-11","7072","02:48:00",0,1,"minute"
"2023-02-11","7072","02:49:00",0,1,"minute"
"2023-02-11","7072","02:50:00",0,1,"minute"
"2023-02-11","7072","02:51:00",0,1,"minute"
"2023-02-11","7072","02:52:00",0,1,"minute"
"2023-02-11","7072","02:53:00",0,1,"minute"
"2023-02-11","7072","02:54:00",0,1,"minute"
"2023-02-11","7072","02:55:00",0,1,"minute"
"2023-02-11","7072","02:56:00",0,1,"minute"
"2023-02-11","7072","02:57:00",0,1,"minute"
"2023-02-11","7072","02:58:00",0,1,"minute"
"2023-02-11","7072","02:59:00",0,1,"minute"
"2023-02-11","7072","03:00:00",0,1,"minute"
"2023-02-11","7072","03:01:00",0,1,"minute"
"2023-02-11","7072","03:02:00",0,1,"minute"
"2023-02-11","7072","03:03:00",0,1,"minute"
"2023-02-11","7072","03:04:00",0,1,"minute"
"2023-02-11","7072","03:05:00",0,1,"minute"
"2023-02-11","7072","03:06:00",0,1,"minute"
"2023-02-11","7072","03:07:00",0,1,"minute"
"2023-02-11","7072","03:08:00",0,1,"minute"
"2023-02-11","7072","03:09:00",0,1,"minute"
"2023-02-11","7072","03:10:00",0,1,"minute"
"2023-02-11","7072","03:11:00",0,1,"minute"
"2023-02-11","7072","03:12:00",0,1,"minute"
"2023-02-11","7072","03:13:00",0,1,"minute"
"2023-02-11","7072","03:14:00",0,1,"minute"
"2023-02-11","7072","03:15:00",0,1,"minute"
"2023-02-11","7072","03:16:00",0,1,"minute"
"2023-02-11","7072","03:17:00",0,1,"minute"
"2023-02-11","7072","03:18:00",0,1,"minute"
"2023-02-11","7072","03:19:00",0,1,"minute"
"2023-02-11","7072","03:20:00",0,1,"minute"
"2023-02-11","7072","03:21:00",0,1,"minute"
"2023-02-11","7072","03:22:00",0,1,"minute"
"2023-02-11","7072","03:23:00",0,1,"minute"
"2023-02-11","7072","03:24:00",0,1,"minute"
"2023-02-11","7072","03:25:00",0,1,"minute"
"2023-02-11","7072","03:26:00",0,1,"minute"
"2023-02-11","7072","03:27:00",0,1,"minute"
"2023-02-11","7072","03:28:00",0,1,"minute"
"2023-02-11","7072","03:29:00",0,1,"minute"
"2023-02-11","7072","03:30:00",0,1,"minute"
"2023-02-11","7072","03:31:00",0,1,"minute"
"2023-02-11","7072","03:32:00",0,1,"minute"
"2023-02-11","7072","03:33:00",0,1,"minute"
"2023-02-11","7072","03:34:00",0,1,"minute"
"2023-02-11","7072","03:35:00",0,1,"minute"
"2023-02-11","7072","03:36:00",0,1,"minute"
"2023-02-11","7072","03:37:00",0,1,"minute"
"2023-02-11","7072","03:38:00",0,1,"minute"
"2023-02-11","7072","03:39:00",0,1,"minute"
"2023-02-11","7072","03:40:00",0,1,"minute"
"2023-02-11","7072","03:41:00",0,1,"minute"
"2023-02-11","7072","03:42:00",0,1,"minute"
"2023-02-11","7072","03:43:00",0,1,"minute"
"2023-02-11","7072","03:44:00",0,1,"minute"
"2023-02-11","7072","03:45:00",0,1,"minute"
"2023-02-11","7072","03:46:00",0,1,"minute"
"2023-02-11","7072","03:47:00",0,1,"minute"
"2023-02-11","7072","03:48:00",0,1,"minute"
"2023-02-11","7072","03:49:00",0,1,"minute"
"2023-02-11","7072","03:50:00",0,1,"minute"
"2023-02-11","7072","03:51:00",0,1,"minute"
"2023-02-11","7072","03:52:00",0,1,"minute"
"2023-02-11","7072","03:53:00",0,1,"minute"
"2023-02-11","7072","03:54:00",0,1,"minute"
"2023-02-11","7072","03:55:00",0,1,"minute"
"2023-02-11","7072","03:56:00",0,1,"minute"
"2023-02-11","7072","03:57:00",0,1,"minute"
"2023-02-11","7072","03:58:00",0,1,"minute"
"2023-02-11","7072","03:59:00",0,1,"minute"
"2023-02-11","7072","04:00:00",0,1,"minute"
"2023-02-11","7072","04:01:00",4,1,"minute"
"2023-02-11","7072","04:02:00",0,1,"minute"
"2023-02-11","7072","04:03:00",0,1,"minute"
"2023-02-11","7072","04:04:00",0,1,"minute"
"2023-02-11","7072","04:05:00",0,1,"minute"
"2023-02-11","7072","04:06:00",0,1,"minute"
"2023-02-11","7072","04:07:00",0,1,"minute"
"2023-02-11","7072","04:08:00",0,1,"minute"
"2023-02-11","7072","04:09:00",0,1,"minute"
"2023-02-11","7072","04:10:00",0,1,"minute"
"2023-02-11","7072","04:11:00",0,1,"minute"
"2023-02-11","7072","04:12:00",0,1,"minute"
"2023-02-11","7072","04:13:00",0,1,"minute"
"2023-02-11","7072","04:14:00",0,1,"minute"
"2023-02-11","7072","04:15:00",0,1,"minute"
"2023-02-11","7072","04:16:00",0,1,"minute"
"2023-02-11","7072","04:17:00",0,1,"minute"
"2023-02-11","7072","04:18:00",0,1,"minute"
"2023-02-11","7072","04:19:00",0,1,"minute"
"2023-02-11","7072","04:20:00",0,1,"minute"
"2023-02-11","7072","04:21:00",0,1,"minute"
"2023-02-11","7072","04:22:00",0,1,"minute"
"2023-02-11","7072","04:23:00",0,1,"minute"
"2023-02-11","7072","04:24:00",0,1,"minute"
"2023-02-11","7072","04:25:00",0,1,"minute"
"2023-02-11","7072","04:26:00",0,1,"minute"
"2023-02-11","7072","04:27:00",0,1,"minute"
"2023-02-11","7072","04:28:00",0,1,"minute"
"2023-02-11","7072","04:29:00",0,1,"minute"
"2023-02-11","7072","04:30:00",0,1,"minute"
"2023-02-11","7072","04:31:00",0,1,"minute"
"2023-02-11","7072","04:32:00",0,1,"minute"
"2023-02-11","7072","04:33:00",0,1,"minute"
"2023-02-11","7072","04:34:00",0,1,"minute"
"2023-02-11","7072","04:35:00",0,1,"minute"
"2023-02-11","7072","04:36:00",0,1,"minute"
"2023-02-11","7072","04:37:00",0,1,"minute"
"2023-02-11","7072","04:38:00",0,1,"minute"
"2023-02-11","7072","04:39:00",0,1,"minute"
"2023-02-11","7072","04:40:00",0,1,"minute"
"2023-02-11","7072","04:41:00",0,1,"minute"
"2023-02-11","7072","04:42:00",0,1,"minute"
"2023-02-11","7072","04:43:00",0,1,"minute"
"2023-02-11","7072","04:44:00",0,1,"minute"
"2023-02-11","7072","04:45:00",0,1,"minute"
"2023-02-11","7072","04:46:00",0,1,"minute"
"2023-02-11","7072","04:47:00",0,1,"minute"
"2023-02-11","7072","04:48:00",0,1,"minute"
"2023-02-11","7072","04:49:00",0,1,"minute"
"2023-02-11","7072","04:50:00",0,1,"minute"
"2023-02-11","7072","04:51:00",0,1,"minute"
"2023-02-11","7072","04:52:00",0,1,"minute"
"2023-02-11","7072","04:53:00",0,1,"minute"
"2023-02-11","7072","04:54:00",0,1,"minute"
"2023-02-11","7072","04:55:00",0,1,"minute"
"2023-02-11","7072","04:56:00",0,1,"minute"
"2023-02-11","7072","04:57:00",0,1,"minute"
"2023-02-11","7072","04:58:00",0,1,"minute"
"2023-02-11","7072","04:59:00",0,1,"minute"
"2023-02-11","7072","05:00:00",0,1,"minute"
"2023-02-11","7072","05:01:00",0,1,"minute"
"2023-02-11","7072","05:02:00",0,1,"minute"
"2023-02-11","7072","05:03:00",0,1,"minute"
"2023-02-11","7072","05:04:00",0,1,"minute"
"2023-02-11","7072","05:05:00",0,1,"minute"
"2023-02-11","7072","05:06:00",0,1,"minute"
"2023-02-11","7072","05:07:00",0,1,"minute"
"2023-02-11","7072","05:08:00",0,1,"minute"
"2023-02-11","7072","05:09:00",0,1,"minute"
"2023-02-11","7072","05:10:00",0,1,"minute"
"2023-02-11","7072","05:11:00",0,1,"minute"
"2023-02-11","7072","05:12:00",0,1,"minute"
"2023-02-11","7072","05:13:00",0,1,"minute"
"2023-02-11","7072","05:14:00",0,1,"minute"
"2023-02-11","7072","05:15:00",0,1,"minute"
"2023-02-11","7072","05:16:00",0,1,"minute"
"2023-02-11","7072","05:17:00",0,1,"minute"
"2023-02-11","7072","05:18:00",0,1,"minute"
"2023-02-11","7072","05:19:00",0,1,"minute"
"2023-02-11","7072","05:20:00",0,1,"minute"
"2023-02-11","7072","05:21:00",0,1,"minute"
"2023-02-11","7072","05:22:00",0,1,"minute"
"2023-02-11","7072","05:23:00",0,1,"minute"
"2023-02-11","7072","05:24:00",0,1,"minute"
"2023-02-11","7072","05:25:00",0,1,"minute"
"2023-02-11","7072","05:26:00",0,1,"minute"
"2023-02-11","7072","05:27:00",0,1,"minute"
"2023-02-11","7072","05:28:00",0,1,"minute"
"2023-02-11","7072","05:29:00",0,1,"minute"
"2023-02-11","7072","05:30:00",0,1,"minute"
"2023-02-11","7072","05:31:00",0,1,"minute"
"2023-02-11","7072","05:32:00",0,1,"minute"
"2023-02-11","7072","05:33:00",0,1,"minute"
"2023-02-11","7072","05:34:00",0,1,"minute"
"2023-02-11","7072","05:35:00",0,1,"minute"
"2023-02-11","7072","05:36:00",0,1,"minute"
"2023-02-11","7072","05:37:00",0,1,"minute"
"2023-02-11","7072","05:38:00",0,1,"minute"
"2023-02-11","7072","05:39:00",0,1,"minute"
"2023-02-11","7072","05:40:00",0,1,"minute"
"2023-02-11","7072","05:41:00",0,1,"minute"
"2023-02-11","7072","05:42:00",0,1,"minute"
"2023-02-11","7072","05:43:00",0,1,"minute"
"2023-02-11","7072","05:44:00",0,1,"minute"
"2023-02-11","7072","05:45:00",0,1,"minute"
"2023-02-11","7072","05:46:00",0,1,"minute"
"2023-02-11","7072","05:47:00",0,1,"minute"
"2023-02-11","7072","05:48:00",0,1,"minute"
"2023-02-11","7072","05:49:00",0,1,"minute"
"2023-02-11","7072","05:50:00",0,1,"minute"
"2023-02-11","7072","05:51:00",0,1,"minute"
"2023-02-11","7072","05:52:00",0,1,"minute"
"2023-02-11","7072","05:53:00",0,1,"minute"
"2023-02-11","7072","05:54:00",0,1,"minute"
"2023-02-11","7072","05:55:00",0,1,"minute"
"2023-02-11","7072","05:56:00",0,1,"minute"
"2023-02-11","7072","05:57:00",0,1,"minute"
"2023-02-11","7072","05:58:00",0,1,"minute"
"2023-02-11","7072","05:59:00",0,1,"minute"
"2023-02-11","7072","06:00:00",0,1,"minute"
"2023-02-11","7072","06:01:00",0,1,"minute"
"2023-02-11","7072","06:02:00",0,1,"minute"
"2023-02-11","7072","06:03:00",0,1,"minute"
"2023-02-11","7072","06:04:00",0,1,"minute"
"2023-02-11","7072","06:05:00",0,1,"minute"
"2023-02-11","7072","06:06:00",0,1,"minute"
"2023-02-11","7072","06:07:00",0,1,"minute"
"2023-02-11","7072","06:08:00",0,1,"minute"
"2023-02-11","7072","06:09:00",0,1,"minute"
"2023-02-11","7072","06:10:00",0,1,"minute"
"2023-02-11","7072","06:11:00",0,1,"minute"
"2023-02-11","7072","06:12:00",0,1,"minute"
"2023-02-11","7072","06:13:00",0,1,"minute"
"2023-02-11","7072","06:14:00",0,1,"minute"
"2023-02-11","7072","06:15:00",0,1,"minute"
"2023-02-11","7072","06:16:00",0,1,"minute"
"2023-02-11","7072","06:17:00",0,1,"minute"
"2023-02-11","7072","06:18:00",0,1,"minute"
"2023-02-11","7072","06:19:00",0,1,"minute"
"2023-02-11","7072","06:20:00",0,1,"minute"
"2023-02-11","7072","06:21:00",0,1,"minute"
"2023-02-11","7072","06:22:00",0,1,"minute"
"2023-02-11","7072","06:23:00",0,1,"minute"
"2023-02-11","7072","06:24:00",0,1,"minute"
"2023-02-11","7072","06:25:00",0,1,"minute"
"2023-02-11","7072","06:26:00",0,1,"minute"
"2023-02-11","7072","06:27:00",0,1,"minute"
"2023-02-11","7072","06:28:00",0,1,"minute"
"2023-02-11","7072","06:29:00",0,1,"minute"
"2023-02-11","7072","06:30:00",0,1,"minute"
"2023-02-11","7072","06:31:00",0,1,"minute"
"2023-02-11","7072","06:32:00",0,1,"minute"
